Id,Designator,Package,Quantity,Designation,MFG,MFG Ref,Supplier,Supplier Ref,SMD,Through,Total SMD,Total Through
1,C1,CP_Elec_5x5.3,1,100uF,Cornell Dubilier,107SML035M,Mouser,598-107SML035M,1,,1,
2,"C2,C4,C6,C8",C_1206,4,1uF,vishay,VJ1206Y105KXQTW1BC,,Generic 1uF 1206 10%,1,,4,
3,"C3,C5,C7,C9",C_1206,4,.1uF,Taiyo,HMK316B7104MLHT,,Generic .1uF 1206 10%,1,,4,
4,"D1,D2,D3,D4",D_1206,4,LED,Wurth,156120VS75300,mouser,710-156120VS75300,1,,4,
5,J2,Pin_Header_Straight_1x20_Pitch2.54mm,0,Conn_01x20,Not Populated,,,,,,0,
6,"R1,R2,R3,R4",R_1206,4,330,KOA Speer - Generic OK,RK73B2BTTE331J,Mouser,660-RK73B2BTTE331J,1,,4,
7,"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10",PTS125,10,TS001,C&K,PTS125SK12SMTR2LFS,Mouser,611-PTS125SK12SMTR2,1,,10,
8,U1,LQFP-100_14x14mm_Pitch0.5mm,1,STM32F303V(B-C)Tx_u,STM,STM32F303VCT6,mouser,511-STM32F303VCT6,1,,1,
9,J1,RJ45,1,Conn_01x08,Amphenol,RJHSE-5080,Mouser,523-RJHSE-5080,,1,,1
10,J4,Pin_Header_Straight_1x06_Pitch2.54mm,0,Conn_01x06,Not Populated,,,,,,,
11,"h2,h1,h4,h5,h6,h3",MountingHole_3.5mm,0,MountingHole_3.5mm,Not Populated,,,,,,,
12,"h9,h10,h7,h8",MountingHole_2.5mm,0,MountingHole_2.5mm,Not Populated,,,,,,,
13,J3,Pin_Header_Straight_2x04_Pitch2.54mm,0,Conn_02x04_Odd_Even,Not Populated,,,,,,,
,,,,,,,,,,,,
,,,29,,,,,,7,1,28,1
